municipality,season,year_start,year_end,display_year,weeks_present,expected_weeks,completeness,week_range,sequence_id,year,match_key_start,match_key_end,crop,original_year,max_wind_kts,min_pres_mb,duration_hrs,risk_score,match_key,year_for_sort
Malinao,Dry,2019,2020,2019-2020,22,25,88.0%,1-52,Malinao_Dry_2019-2020,0,Malinao_2019_Dry,Malinao_2020_Dry,Corn,2020,0,1010,0,0.0,,2020
Malinao,Dry,2019,2020,2019-2020,22,25,88.0%,1-52,Malinao_Dry_2019-2020,0,Malinao_2019_Dry,Malinao_2020_Dry,Corn,2020,0,1010,3,6.0,,2020
Malinao,Wet,0,0,,24,27,88.9%,18-44,Malinao_Wet_2020,2020,,,Corn,2020,130,932,0,65.0,Malinao_2020_Wet,2020
Malinao,Wet,0,0,,24,27,88.9%,18-44,Malinao_Wet_2020,2020,,,Corn,2020,68,985,0,34.0,Malinao_2020_Wet,2020
Malinao,Wet,0,0,,24,27,88.9%,18-44,Malinao_Wet_2020,2020,,,Corn,2020,0,1010,0,0.0,Malinao_2020_Wet,2020
Malinao,Wet,0,0,,24,27,88.9%,18-44,Malinao_Wet_2020,2020,,,Corn,2020,0,1010,3,6.0,Malinao_2020_Wet,2020
Oas,Dry,2019,2020,2019-2020,22,25,88.0%,1-52,Oas_Dry_2019-2020,0,Oas_2019_Dry,Oas_2020_Dry,Rice,2020,20,1006,0,10.0,,2020
Oas,Dry,2019,2020,2019-2020,22,25,88.0%,1-52,Oas_Dry_2019-2020,0,Oas_2019_Dry,Oas_2020_Dry,Rice,2020,130,932,0,65.0,,2020
Oas,Dry,2019,2020,2019-2020,22,25,88.0%,1-52,Oas_Dry_2019-2020,0,Oas_2019_Dry,Oas_2020_Dry,Rice,2020,70,984,0,35.0,,2020
Oas,Dry,2019,2020,2019-2020,22,25,88.0%,1-52,Oas_Dry_2019-2020,0,Oas_2019_Dry,Oas_2020_Dry,Rice,2020,0,1010,0,0.0,,2020
Oas,Dry,2019,2020,2019-2020,22,25,88.0%,1-52,Oas_Dry_2019-2020,0,Oas_2019_Dry,Oas_2020_Dry,Rice,2020,0,1010,3,6.0,,2020
Oas,Wet,0,0,,24,27,88.9%,18-44,Oas_Wet_2020,2020,,,Rice,2020,20,1006,0,10.0,Oas_2020_Wet,2020
Oas,Wet,0,0,,24,27,88.9%,18-44,Oas_Wet_2020,2020,,,Rice,2020,130,932,0,65.0,Oas_2020_Wet,2020
Oas,Wet,0,0,,24,27,88.9%,18-44,Oas_Wet_2020,2020,,,Rice,2020,70,984,0,35.0,Oas_2020_Wet,2020
Oas,Wet,0,0,,24,27,88.9%,18-44,Oas_Wet_2020,2020,,,Rice,2020,0,1010,0,0.0,Oas_2020_Wet,2020
Oas,Wet,0,0,,24,27,88.9%,18-44,Oas_Wet_2020,2020,,,Rice,2020,0,1010,3,6.0,Oas_2020_Wet,2020
Oas,Dry,2019,2020,2019-2020,22,25,88.0%,1-52,Oas_Dry_2019-2020,0,Oas_2019_Dry,Oas_2020_Dry,Corn,2020,20,1006,0,10.0,,2020
Oas,Dry,2019,2020,2019-2020,22,25,88.0%,1-52,Oas_Dry_2019-2020,0,Oas_2019_Dry,Oas_2020_Dry,Corn,2020,130,932,0,65.0,,2020
Oas,Dry,2019,2020,2019-2020,22,25,88.0%,1-52,Oas_Dry_2019-2020,0,Oas_2019_Dry,Oas_2020_Dry,Corn,2020,70,984,0,35.0,,2020
Oas,Dry,2019,2020,2019-2020,22,25,88.0%,1-52,Oas_Dry_2019-2020,0,Oas_2019_Dry,Oas_2020_Dry,Corn,2020,0,1010,0,0.0,,2020
Oas,Dry,2019,2020,2019-2020,22,25,88.0%,1-52,Oas_Dry_2019-2020,0,Oas_2019_Dry,Oas_2020_Dry,Corn,2020,0,1010,3,6.0,,2020
